scenario,impulse,noise,periodic,dark,dark_regions,lost_blocks
clean,0.0,1.6666666666666667,5.0,0.0,0.0,0.0
gaussian_s15,0.0,100.0,5.0,0.0,0.0,0.0
gaussian_s30,0.0,100.0,5.0,0.0,0.0,0.0
saltpepper_5,100.0,100.0,5.0,0.0,0.0,0.0
saltpepper_20,100.0,100.0,0.0,0.0,0.0,0.0
periodic,0.0,1.6666666666666667,100.0,0.0,0.0,0.0
motion_blur,0.0,0.0,5.0,0.0,0.0,0.0
low_light,0.0,0.0,3.3333333333333335,100.0,0.0,0.0
uneven_light,0.0,0.0,5.0,1.6666666666666667,5.0,1.6666666666666667
block_loss,0.0,1.6666666666666667,1.6666666666666667,0.0,1.6666666666666667,100.0
night_compound,100.0,53.333333333333336,5.0,100.0,0.0,0.0
