method,PSNR,SSIM,ms
(degraded),20.490133789618415,0.41043433413496583,0.0
ideal D0=0.05,20.32768981406255,0.4712677933223544,69.9402115000036
ideal D0=0.10,22.788647832309824,0.5781064476656037,69.20571369999682
ideal D0=0.20,24.62812407450561,0.6398666466333548,68.86618689997401
butterworth D0=0.05,21.025534209803872,0.5267500248374076,70.6850554333414
butterworth D0=0.10,23.584906251456662,0.6519963966254732,69.96844663334893
butterworth D0=0.20,25.688518274856026,0.709498817915513,70.27014346666267
gaussian D0=0.05,21.51276597565055,0.5553820761577976,70.30119936666021
gaussian D0=0.10,24.065208153162203,0.6785206379591637,70.73947966666007
gaussian D0=0.20,25.873488109495746,0.6982627651239194,70.65405026669396
