method,PSNR,SSIM,ms
(degraded),22.488711445672347,0.6529921953459932,0.0
inverse,6.665748801554702,0.027036289941943778,85.49783693331392
Wiener K=0.001,19.682063105166865,0.3927888213444034,86.09255716667121
Wiener K=0.005,24.2660500789161,0.5857808846060514,86.41430439997748
Wiener K=0.01,25.51948447319781,0.6725316816621235,87.01510846667588
Wiener K=0.03,25.203517395332806,0.7512014320518249,87.33266409999487
CLS gamma=0.001,15.791005986181615,0.39779615431160437,111.12615849996625
CLS gamma=0.005,19.39452297545228,0.5463298781280685,111.09383363333716
CLS gamma=0.02,22.423750152075435,0.664128829615701,111.44650000000335
Laplacian sharpen (no PSF),19.02424412062693,0.39029982649010103,4.274794299969169
