case,method,PSNR,SSIM,ms
1% blocks lost,(degraded),26.938015337198248,0.9856770203063593,0.0
1% blocks lost,Telea in-painting,40.38327858715561,0.9956531373749136,2.4518624998260443
1% blocks lost,Navier-Stokes in-painting,40.514091986665456,0.9957780038267432,2.2115249000307813
1% blocks lost,median 5x5 (naive),23.01981655907584,0.7431294017327189,0.26977769997150364
3% blocks lost,(degraded),21.603450323767095,0.9549740745680677,0.0
3% blocks lost,Telea in-painting,34.999313187678574,0.9865108050652156,5.487877733260878
3% blocks lost,Navier-Stokes in-painting,34.95409323087118,0.9866912421492167,5.226541633449718
3% blocks lost,median 5x5 (naive),20.077731299033772,0.7193442975909535,0.30148740000489244
8% blocks lost,(degraded),17.359471186896325,0.8804516194755937,0.0
8% blocks lost,Telea in-painting,30.387841109575472,0.9628431107162695,12.624522233303045
8% blocks lost,Navier-Stokes in-painting,30.334096000983493,0.9634259129508074,12.649973600067218
8% blocks lost,median 5x5 (naive),16.79089472767942,0.6629838548624714,0.24854020005780816
