boxes,method,family,IoU,IoU_std,Dice,ms
ground-truth boxes,box,baseline,0.4972190728320097,0.09813348165768235,0.6584475176889079,0.04121332991417148
ground-truth boxes,edge_canny,edge,0.28617464625804684,0.19637233353938047,0.4091869264747142,4.274952529976872
ground-truth boxes,edge_sobel,edge,0.20075300410072852,0.16317052532289958,0.30607051710037836,4.310182099998201
ground-truth boxes,otsu,region,0.4263389029333133,0.1627618594135506,0.5791322928356915,6.178403319981953
ground-truth boxes,region_growing,region,0.5435646577016932,0.13918059970140806,0.6933739377766968,888.8477375200181
ground-truth boxes,watershed,region,0.6923641997455026,0.09962460141024464,0.8141561281108542,3.4528471099929448
ground-truth boxes,grabcut,region,0.6420503818548853,0.1727938914473398,0.7663388227528184,429.0753845400195
YOLO boxes,box,baseline,0.4727254570634085,0.10343248392359422,0.6345594607048386,0.11547337989213702
YOLO boxes,edge_canny,edge,0.27555442149821097,0.19515485673642652,0.3958644561215205,4.469576679985039
YOLO boxes,edge_sobel,edge,0.17923090909398823,0.15408363212105705,0.2775720819689824,4.3441458500365115
YOLO boxes,otsu,region,0.40446015842687616,0.16627753064552775,0.5556708015549957,5.880627159940559
YOLO boxes,region_growing,region,0.5256489043304124,0.15180504404657594,0.6748234183835752,838.4395916899576
YOLO boxes,watershed,region,0.6323575407716786,0.12686055913466537,0.7661074024800223,3.454900019978595
YOLO boxes,grabcut,region,0.5881312865083985,0.183398543336892,0.7209633967153021,400.71453881004345
