boxes,method,IoU,Dice
clean,edge_canny,0.30162408245147193,0.42350797209654656
clean,otsu,0.41624154443739175,0.5694864572456386
clean,watershed,0.6413664151275217,0.7753700631646563
clean,grabcut,0.5936401820184204,0.7168265426565386
noisy sigma=30,edge_canny,0.26348866537002447,0.3776737156679373
noisy sigma=30,otsu,0.36130452891431114,0.4969962790333357
noisy sigma=30,watershed,0.5405819519836738,0.6801560755832429
noisy sigma=30,grabcut,0.4534938598363935,0.60532929632711
restored (balanced: bilateral),edge_canny,0.24029569001928391,0.351620471355255
restored (balanced: bilateral),otsu,0.3696936128927084,0.5103840663156837
restored (balanced: bilateral),watershed,0.5604801522756019,0.6942544977371189
restored (balanced: bilateral),grabcut,0.43765577120372207,0.5874339271636101
restored (quality: NLM),edge_canny,0.20262284379048154,0.3055849443616195
restored (quality: NLM),otsu,0.3762459540849229,0.521445998664924
restored (quality: NLM),watershed,0.5129260660026105,0.661690942705149
restored (quality: NLM),grabcut,0.46879158980958757,0.6158846660958397
