codec,param,bpp,PSNR,SSIM,ratio,ms
JPEG (libjpeg),5,0.2752893554438167,23.47343445290755,0.6673858285295448,89.28085324224179,3.2735722501229247
DCT codec (ours),5,0.27813921443172374,23.469047979631217,0.6667849388736863,93.36344923682871,85.83096737493179
JPEG (libjpeg),10,0.4053904574306453,25.90844752008921,0.765736723950429,61.55714769813355,3.1657971250448704
DCT codec (ours),10,0.5087027738868037,25.887330233024098,0.7648441920523759,50.62261958496594,125.44698112503738
JPEG (libjpeg),20,0.6127413396851731,28.32213446182565,0.8432265624797409,41.06469986595664,3.5659612499709206
DCT codec (ours),20,0.8439168734794439,28.31396357945965,0.8428855640129688,30.266428787877953,180.01435112508565
JPEG (libjpeg),30,0.8232355764160061,29.86157896746747,0.8833180967086064,30.796231779501408,3.6915108751145453
DCT codec (ours),30,1.1547466890071327,29.821365731984745,0.8822442163981461,22.107369333870977,234.68331762505082
JPEG (libjpeg),50,1.1605617867119775,31.4342699708008,0.9184299077402693,22.26618785989768,4.192576875008551
DCT codec (ours),50,1.6177080584190378,31.419639972899933,0.9170147531074132,15.92422674221987,309.07315212493813
JPEG (libjpeg),70,1.5816987570184027,39.59145380337439,0.9823229653637359,16.070854463501952,4.4933960000813995
DCT codec (ours),70,2.21091144587712,39.40291718110999,0.9816202062761604,11.497745646129182,387.6295867917179
JPEG (libjpeg),90,2.398606649072827,45.12097058196849,0.9929416642523607,10.564613661098505,5.020672249997915
DCT codec (ours),90,2.735851178878678,44.529086525475456,0.992269493444153,9.261753931460353,344.4015799167725
Wavelet haar,3,5.138482172558217,42.88167274461714,0.9870141453210078,4.895213124836475,559.4942255000129
Wavelet haar,6,3.5805212045675425,38.85830914089818,0.9689124326478512,7.155862825653969,481.06245783355917
Wavelet haar,12,2.3598179978651195,34.68555766220418,0.931945283585844,11.111977740688632,368.41853070836805
Wavelet haar,24,1.4709540253501479,30.72307211437764,0.868746335844563,17.84448772545039,252.31547266673715
Wavelet haar,48,0.846733203446616,27.066718781112147,0.7713243265249838,30.831838855196338,164.18303545822255
Wavelet haar,96,0.4475376852234867,24.01388504214189,0.6466332634486358,56.5842100915063,115.96221804158328
Wavelet bior4.4,3,4.638322091055556,43.578497375499495,0.9882093054537101,5.48011125884734,512.2119031248834
Wavelet bior4.4,6,3.243067972438747,39.531606381642185,0.9727204140774631,8.017611042239379,427.2786240000717
Wavelet bior4.4,12,2.1483477344088215,35.35659961145925,0.9402772461261507,12.36442868520452,336.02096004176474
Wavelet bior4.4,24,1.3459585832347873,31.26665265761507,0.881042736104833,19.69323425296991,248.97789779163304
Wavelet bior4.4,48,0.7754911171019563,27.564030934581925,0.7870826152600315,33.58441663692404,173.642638250044
Wavelet bior4.4,96,0.41344391165354716,24.44888954646821,0.670009846467036,60.813867613987355,137.1742950417835
