scenario,raw F1,raw AP50,+ restore (balanced) F1,+ restore (balanced) AP50,+ restore (balanced) ms,+ restore (quality) F1,+ restore (quality) AP50,+ restore (quality) ms
clean,0.8999999999999999,0.9247830304515876,0.9171974522292994,0.9240971737668613,185.88892846666553,0.9056603773584904,0.9257261726177111,229.02203869999963
gaussian_s15,0.8645161290322579,0.8629015731885579,0.9019607843137256,0.8843982534744146,185.96665800000048,0.881578947368421,0.8681344409910441,536.085965766669
gaussian_s30,0.802721088435374,0.745491295624617,0.8275862068965518,0.767728198154157,194.00173240000052,0.8671328671328671,0.8076341926756191,531.8249247666689
saltpepper_5,0.7659574468085107,0.6777492818178448,0.8999999999999999,0.9238313291438176,187.63891280000087,0.9056603773584904,0.9251348842850897,277.25251579999883
saltpepper_20,0.624,0.46252188589384197,0.9171974522292994,0.9218544687247542,247.5557435333324,0.9102564102564102,0.9142565561047056,287.2837285666672
periodic,0.6341463414634146,0.4862845425878164,0.8846153846153846,0.8862495733684429,244.9029561999983,0.8903225806451613,0.8892225610469192,325.20783859999943
motion_blur,0.7058823529411764,0.6024797535672819,0.7500000000000001,0.6536718103250214,184.04666063333363,0.7058823529411764,0.6024797535672819,215.12848409999867
low_light,0.8311688311688312,0.8165369006267037,0.8551724137931035,0.7963860865047141,193.10086223333371,0.8108108108108107,0.766099743086729,543.0660493666627
uneven_light,0.8930817610062893,0.9105132972297444,0.9102564102564102,0.9124005371256596,188.271514533335,0.8917197452229298,0.9001725478108423,249.72028633332948
block_loss,0.9113924050632911,0.9176565047347662,0.9171974522292994,0.925820592573759,199.4374346000048,0.8987341772151898,0.9145342297849326,234.6238492666695
night_compound,0.5090909090909091,0.35133739378900675,0.7218045112781956,0.6032430405795416,189.11941366667406,0.732824427480916,0.6143169837100391,593.9301596666686
