sequence,detector,TP,FP,FN,Precision,Recall,F1,AP50,ms
EnterExitCrossingPaths1cor,HOG+SVM,12,34,128,0.2608695652173913,0.08571428571428572,0.12903225806451615,0.04009150757077024,3.7215117436295633
EnterExitCrossingPaths1cor,YOLOv4-tiny@416,125,0,15,1.0,0.8928571428571429,0.9433962264150945,0.8928571428571429,15.811887820489527
EnterExitCrossingPaths1cor,YOLOv4-tiny@608,127,6,13,0.9548872180451128,0.9071428571428571,0.9304029304029303,0.9065339298598227,29.4480214102012
Fight_Chase,HOG+SVM,0,0,156,0.0,0.0,0.0,0.0,3.6348267272552963
Fight_Chase,YOLOv4-tiny@416,1,0,155,1.0,0.00641025641025641,0.012738853503184714,0.00641025641025641,16.47401240905889
Fight_Chase,YOLOv4-tiny@608,4,0,152,1.0,0.02564102564102564,0.05,0.02564102564102564,28.87682865897742
Meet_Crowd,HOG+SVM,0,0,118,0.0,0.0,0.0,0.0,4.365382235364985
Meet_Crowd,YOLOv4-tiny@416,1,2,117,0.3333333333333333,0.00847457627118644,0.01652892561983471,0.00847457627118644,16.057794147159523
Meet_Crowd,YOLOv4-tiny@608,3,0,115,1.0,0.025423728813559324,0.04958677685950414,0.025423728813559324,28.20848902940591
OneLeaveShop1cor,HOG+SVM,3,15,138,0.16666666666666666,0.02127659574468085,0.03773584905660377,0.004166666666666667,3.691416600061833
OneLeaveShop1cor,YOLOv4-tiny@416,98,0,43,1.0,0.6950354609929078,0.8200836820083682,0.6950354609929077,16.22428350001428
OneLeaveShop1cor,YOLOv4-tiny@608,95,2,46,0.979381443298969,0.6737588652482269,0.7983193277310925,0.6726450732373083,29.438883366674418
Walk1,HOG+SVM,0,0,157,0.0,0.0,0.0,0.0,3.590681283367303
Walk1,YOLOv4-tiny@416,5,0,152,1.0,0.03184713375796178,0.0617283950617284,0.03184713375796178,16.935801400010558
Walk1,YOLOv4-tiny@608,8,0,149,1.0,0.050955414012738856,0.09696969696969697,0.050955414012738856,29.095016699981596
